OBJECTID,INSTALLED,UPGRADED,INFRA_HIGHORDER
612,2005,NA,Protected Lanes
613,2005,NA,Shared Roadways
614,2005,NA,Shared Roadways
615,2005,NA,Shared Roadways
616,2005,NA,Shared Roadways
617,2005,NA,On-Road Lanes
618,2005,2023,Shared Roadways
619,2005,NA,Shared Roadways
620,2005,NA,Shared Roadways
621,2005,NA,Shared Roadways
622,2005,NA,On-Road Lanes
623,2005,NA,Protected Lanes
624,2007,NA,Shared Roadways
625,2007,NA,Shared Roadways
626,2007,NA,Shared Roadways
627,2007,NA,Shared Roadways
628,2007,2009,Shared Roadways
629,2008,2019,On-Road Lanes
630,2008,2019,On-Road Lanes
631,2008,NA,Protected Lanes
632,2008,2016,Protected Lanes
633,2008,NA,Protected Lanes
634,2009,NA,On-Road Lanes
635,2009,2021,Protected Lanes
636,2007,NA,On-Road Lanes
637,2009,NA,Protected Lanes
638,2009,NA,Protected Lanes
639,2007,NA,Protected Lanes
640,2007,2012,Protected Lanes
641,2007,NA,On-Road Lanes
642,2007,2015,Protected Lanes
643,2007,NA,Protected Lanes
644,2007,NA,Shared Roadways
645,2007,NA,Shared Roadways
646,2007,NA,Shared Roadways
647,2007,NA,Shared Roadways
648,2007,NA,Shared Roadways
649,2007,NA,Shared Roadways
650,2007,NA,Shared Roadways
651,2007,NA,Shared Roadways
652,2007,NA,Shared Roadways
653,2007,NA,Shared Roadways
654,2007,NA,Shared Roadways
655,2007,NA,Shared Roadways
656,2007,NA,Shared Roadways
657,2007,NA,Shared Roadways
658,2007,NA,Shared Roadways
659,2007,NA,Shared Roadways
660,2007,NA,Shared Roadways
661,2007,NA,Shared Roadways
662,2007,NA,Shared Roadways
663,2007,NA,Shared Roadways
664,2007,NA,Shared Roadways
665,2007,NA,Shared Roadways
666,2007,NA,Shared Roadways
667,2007,NA,Shared Roadways
668,2007,NA,Shared Roadways
669,2007,NA,Shared Roadways
670,2007,NA,Shared Roadways
671,2007,NA,Shared Roadways
672,2007,NA,Shared Roadways
673,2007,NA,Shared Roadways
674,2007,NA,Shared Roadways
675,2007,NA,Shared Roadways
676,2007,NA,Shared Roadways
677,2007,NA,Shared Roadways
678,2007,NA,Shared Roadways
679,2007,NA,Shared Roadways
680,2007,NA,Shared Roadways
681,2007,NA,Shared Roadways
682,2007,NA,Shared Roadways
683,2007,NA,Shared Roadways
684,2007,NA,Shared Roadways
685,2007,NA,Shared Roadways
686,2007,NA,Shared Roadways
687,2007,NA,Shared Roadways
688,2007,NA,Shared Roadways
689,2007,NA,Shared Roadways
690,2007,NA,Shared Roadways
691,2011,NA,Protected Lanes
692,2011,NA,Protected Lanes
693,2011,NA,Protected Lanes
694,2011,NA,Protected Lanes
695,2011,NA,Protected Lanes
696,2011,NA,Shared Roadways
697,2011,NA,Shared Roadways
698,2011,NA,Shared Roadways
699,2011,NA,Shared Roadways
700,2012,NA,Protected Lanes
701,2012,NA,Protected Lanes
702,2012,NA,Protected Lanes
703,2012,NA,Protected Lanes
704,2012,NA,Shared Roadways
705,2012,NA,Protected Lanes
706,2012,NA,Protected Lanes
707,2012,NA,Protected Lanes
708,2012,NA,Protected Lanes
709,2012,NA,Shared Roadways
710,2012,NA,Protected Lanes
711,2012,NA,Protected Lanes
712,2011,NA,Protected Lanes
713,2011,NA,Protected Lanes
714,2011,NA,Protected Lanes
715,2011,NA,Protected Lanes
716,2011,NA,Protected Lanes
717,2011,NA,Protected Lanes
718,2011,2015,Shared Roadways
719,2011,2015,Shared Roadways
720,2011,NA,Shared Roadways
721,2011,2015,Protected Lanes
722,2011,NA,Protected Lanes
723,2011,NA,Protected Lanes
724,2011,NA,Protected Lanes
725,2011,NA,Protected Lanes
726,2011,NA,Protected Lanes
727,2011,NA,Shared Roadways
728,2009,NA,Protected Lanes
729,2009,NA,Protected Lanes
730,2009,2015,Protected Lanes
731,2009,NA,Protected Lanes
732,2009,NA,Protected Lanes
733,2009,NA,Protected Lanes
734,2009,NA,On-Road Lanes
735,2009,NA,On-Road Lanes
736,2009,NA,On-Road Lanes
737,2009,NA,Shared Roadways
738,2009,NA,Protected Lanes
